Team,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17
TB,[29.4%]WAS,[15.1%]@DET,[8.7%]DEN,[28.5%]PHI,[16.7%]@ATL,[-1.6%]@NO,[-28.7%]BAL,[16.7%]ATL,[-10.6%]@KC,[-17.7%]SF,BYE,[-11.0%]@NYG,[-26.2%]@CAR,[-10.2%]LVR,[19.2%]@LAC,[-13.8%]@DAL,[-26.2%]CAR
GB,[28.5%]@PHI,[8.1%]IND,[-3.6%]@TEN,[-1.4%]MIN,[12.5%]@LAR,[14.6%]ARI,[16.8%]HOU,[15.1%]@JAC,[15.1%]DET,BYE,[-1.1%]@CHI,[-17.7%]SF,[13.3%]MIA,[15.1%]@DET,[-1.5%]@SEA,[-1.6%]NO,[-1.4%]@MIN
LVR,[19.2%]@LAC,[-28.7%]@BAL,[-26.2%]CAR,[-18.8%]CLE,[8.7%]@DEN,[-12.4%]PIT,[12.5%]@LAR,[-10.6%]KC,[6.6%]@CIN,BYE,[13.3%]@MIA,[8.7%]DEN,[-10.6%]@KC,[10.0%]@TB,[16.7%]ATL,[15.1%]JAC,[-1.6%]@NO
IND,[16.8%]HOU,[4.1%]@GB,[-1.1%]CHI,[-12.4%]PIT,[15.1%]@JAC,[-3.6%]@TEN,[13.3%]MIA,[16.8%]@HOU,[-1.4%]@MIN,[-7.0%]BUF,[-29.5%]@NYJ,[15.1%]DET,[-12.9%]@NE,BYE,[8.7%]@DEN,[-3.6%]TEN,[-11.0%]@NYG
PIT,[16.7%]@ATL,[8.7%]@DEN,[19.2%]LAC,[8.1%]@IND,[-13.8%]DAL,[-10.2%]@LVR,[-29.5%]NYJ,[-11.0%]NYG,BYE,[29.4%]@WAS,[-28.7%]BAL,[-18.8%]@CLE,[6.6%]@CIN,[-18.8%]CLE,[28.5%]@PHI,[-28.7%]@BAL,[-10.6%]KC
MIA,[15.1%]JAC,[-7.0%]BUF,[-1.5%]@SEA,[-3.6%]TEN,[-12.9%]@NE,BYE,[8.1%]@IND,[14.6%]ARI,[-7.0%]@BUF,[12.5%]@LAR,[-10.2%]LVR,[-12.9%]NE,[4.1%]@GB,[-29.5%]NYJ,[16.8%]@HOU,[-17.7%]SF,[-18.8%]@CLE
LAR,[15.1%]@DET,[14.6%]@ARI,[-17.7%]SF,[-1.1%]@CHI,[4.1%]GB,BYE,[-10.2%]LVR,[-1.4%]MIN,[-1.5%]@SEA,[13.3%]MIA,[-12.9%]@NE,[28.5%]PHI,[-1.6%]@NO,[-7.0%]BUF,[-17.7%]@SF,[-29.5%]@NYJ,[14.6%]ARI
BUF,[14.6%]ARI,[13.3%]@MIA,[15.1%]JAC,[-28.7%]@BAL,[16.8%]@HOU,[-29.5%]@NYJ,[-3.6%]TEN,[-1.5%]@SEA,[13.3%]MIA,[8.1%]@IND,[-10.6%]KC,BYE,[-17.7%]SF,[12.5%]@LAR,[15.1%]@DET,[-12.9%]NE,[-29.5%]NYJ
JAC,[13.3%]@MIA,[-18.8%]CLE,[-7.0%]@BUF,[16.8%]@HOU,[8.1%]IND,[-1.1%]@CHI,[-12.9%]NE,[4.1%]GB,[28.5%]@PHI,[-1.4%]MIN,[15.1%]@DET,BYE,[16.8%]HOU,[-3.6%]@TEN,[-29.5%]NYJ,[-10.2%]@LVR,[-3.6%]TEN
DET,[12.5%]LAR,[10.0%]TB,[14.6%]@ARI,[-1.5%]SEA,BYE,[-13.8%]@DAL,[-1.4%]@MIN,[-3.6%]TEN,[4.1%]@GB,[16.8%]@HOU,[15.1%]JAC,[8.1%]@IND,[-1.1%]CHI,[4.1%]GB,[-7.0%]BUF,[-1.1%]@CHI,[-17.7%]@SF
WAS,[10.0%]@TB,[-11.0%]NYG,[6.6%]@CIN,[14.6%]@ARI,[-18.8%]CLE,[-28.7%]@BAL,[-26.2%]CAR,[-1.1%]CHI,[-11.0%]@NYG,[-12.4%]PIT,[28.5%]@PHI,[-13.8%]DAL,[-3.6%]TEN,BYE,[-1.6%]@NO,[28.5%]PHI,[16.7%]ATL
SEA,[8.7%]DEN,[-12.9%]@NE,[13.3%]MIA,[15.1%]@DET,[-11.0%]NYG,[-17.7%]SF,[16.7%]@ATL,[-7.0%]BUF,[12.5%]LAR,BYE,[-17.7%]@SF,[14.6%]ARI,[-29.5%]@NYJ,[14.6%]@ARI,[4.1%]GB,[-1.4%]MIN,[-1.1%]@CHI
HOU,[8.1%]@IND,[-1.1%]CHI,[-1.4%]@MIN,[15.1%]JAC,[-7.0%]BUF,[-12.9%]@NE,[4.1%]@GB,[8.1%]IND,[-29.5%]@NYJ,[15.1%]DET,[-13.8%]@DAL,[-3.6%]TEN,[15.1%]@JAC,BYE,[13.3%]MIA,[-10.6%]@KC,[-28.7%]BAL
NE,[6.6%]@CIN,[-1.5%]SEA,[-29.5%]@NYJ,[-17.7%]@SF,[13.3%]MIA,[16.8%]HOU,[15.1%]@JAC,[-29.5%]NYJ,[-3.6%]@TEN,[-1.1%]@CHI,[12.5%]LAR,[13.3%]@MIA,[8.1%]IND,BYE,[14.6%]@ARI,[-7.0%]@BUF,[19.2%]LAC
PHI,[4.1%]GB,[16.7%]ATL,[-1.6%]@NO,[10.0%]@TB,BYE,[-18.8%]CLE,[-11.0%]@NYG,[6.6%]@CIN,[15.1%]JAC,[-13.8%]@DAL,[29.4%]WAS,[12.5%]@LAR,[-28.7%]@BAL,[-26.2%]CAR,[-12.4%]PIT,[29.4%]@WAS,[-13.8%]DAL
TEN,[-1.1%]@CHI,[-29.5%]NYJ,[4.1%]GB,[13.3%]@MIA,BYE,[8.1%]IND,[-7.0%]@BUF,[15.1%]@DET,[-12.9%]NE,[19.2%]@LAC,[-1.4%]MIN,[16.8%]@HOU,[29.4%]@WAS,[15.1%]JAC,[6.6%]CIN,[8.1%]@IND,[15.1%]@JAC
NYG,[-1.4%]MIN,[29.4%]@WAS,[-18.8%]@CLE,[-13.8%]DAL,[-1.5%]@SEA,[6.6%]CIN,[28.5%]PHI,[-12.4%]@PIT,[29.4%]WAS,[-26.2%]@CAR,BYE,[10.0%]TB,[-13.8%]@DAL,[-1.6%]NO,[-28.7%]BAL,[16.7%]@ATL,[8.1%]IND
DEN,[-1.5%]@SEA,[-12.4%]PIT,[10.0%]@TB,[-29.5%]@NYJ,[-10.2%]LVR,[19.2%]LAC,[-1.6%]@NO,[-26.2%]CAR,[-28.7%]@BAL,[-10.6%]@KC,[16.7%]ATL,[-10.2%]@LVR,[-18.8%]CLE,BYE,[8.1%]IND,[19.2%]@LAC,[6.6%]@CIN
CAR,[-1.6%]@NO,[19.2%]LAC,[-10.2%]@LVR,[6.6%]CIN,[-1.1%]@CHI,[16.7%]ATL,[29.4%]@WAS,[8.7%]@DEN,[-1.6%]NO,[-11.0%]NYG,BYE,[-10.6%]KC,[10.0%]TB,[28.5%]@PHI,[-13.8%]DAL,[14.6%]ARI,[10.0%]@TB
CHI,[-3.6%]TEN,[16.8%]@HOU,[8.1%]@IND,[12.5%]LAR,[-26.2%]CAR,[15.1%]JAC,BYE,[29.4%]@WAS,[14.6%]@ARI,[-12.9%]NE,[4.1%]GB,[-1.4%]MIN,[15.1%]@DET,[-17.7%]@SF,[-1.4%]@MIN,[15.1%]DET,[-1.5%]SEA
ARI,[-7.0%]@BUF,[12.5%]LAR,[15.1%]DET,[29.4%]WAS,[-17.7%]@SF,[4.1%]@GB,[19.2%]LAC,[13.3%]@MIA,[-1.1%]CHI,[-29.5%]NYJ,BYE,[-1.5%]@SEA,[-1.4%]@MIN,[-1.5%]SEA,[-12.9%]NE,[-26.2%]@CAR,[12.5%]@LAR
LAC,[-10.2%]LVR,[-26.2%]@CAR,[-12.4%]@PIT,[-10.6%]KC,BYE,[8.7%]@DEN,[14.6%]@ARI,[-1.6%]NO,[-18.8%]@CLE,[-3.6%]TEN,[6.6%]CIN,[-28.7%]BAL,[16.7%]@ATL,[-10.6%]@KC,[10.0%]TB,[8.7%]DEN,[-12.9%]@NE
BAL,[-10.6%]@KC,[-10.2%]LVR,[-13.8%]@DAL,[-7.0%]BUF,[6.6%]@CIN,[29.4%]WAS,[10.0%]@TB,[-18.8%]@CLE,[8.7%]DEN,[6.6%]CIN,[-12.4%]@PIT,[19.2%]@LAC,[28.5%]PHI,BYE,[-11.0%]@NYG,[-12.4%]PIT,[16.8%]@HOU
MIN,[-11.0%]@NYG,[-17.7%]SF,[16.8%]HOU,[4.1%]@GB,[-29.5%]NYJ,BYE,[15.1%]DET,[12.5%]@LAR,[8.1%]IND,[15.1%]@JAC,[-3.6%]@TEN,[-1.1%]@CHI,[14.6%]ARI,[16.7%]ATL,[-1.1%]CHI,[-1.5%]@SEA,[4.1%]GB
ATL,[-12.4%]PIT,[28.5%]@PHI,[-10.6%]KC,[-1.6%]NO,[10.0%]TB,[-26.2%]@CAR,[-1.5%]SEA,[10.0%]@TB,[-13.8%]DAL,[-1.6%]@NO,[8.7%]@DEN,BYE,[19.2%]LAC,[-1.4%]@MIN,[-10.2%]@LVR,[-11.0%]NYG,[29.4%]@WAS
CIN,[-12.9%]NE,[-10.6%]@KC,[29.4%]WAS,[-26.2%]@CAR,[-28.7%]BAL,[-11.0%]@NYG,[-18.8%]@CLE,[28.5%]PHI,[-10.2%]LVR,[-28.7%]@BAL,[19.2%]@LAC,BYE,[-12.4%]PIT,[-13.8%]@DAL,[-3.6%]@TEN,[-18.8%]CLE,[8.7%]DEN
CLE,[-13.8%]DAL,[15.1%]@JAC,[-11.0%]NYG,[-10.2%]@LVR,[29.4%]@WAS,[28.5%]@PHI,[6.6%]CIN,[-28.7%]BAL,[19.2%]LAC,BYE,[-1.6%]@NO,[-12.4%]PIT,[8.7%]@DEN,[-12.4%]@PIT,[-10.6%]KC,[6.6%]@CIN,[13.3%]MIA
NYJ,[-17.7%]@SF,[-3.6%]@TEN,[-12.9%]NE,[8.7%]DEN,[-1.4%]@MIN,[-7.0%]BUF,[-12.4%]@PIT,[-12.9%]@NE,[16.8%]HOU,[14.6%]@ARI,[8.1%]IND,BYE,[-1.5%]SEA,[13.3%]@MIA,[15.1%]@JAC,[12.5%]LAR,[-7.0%]@BUF
DAL,[-18.8%]@CLE,[-1.6%]NO,[-28.7%]BAL,[-11.0%]@NYG,[-12.4%]@PIT,[15.1%]DET,BYE,[-17.7%]@SF,[16.7%]@ATL,[28.5%]PHI,[16.8%]HOU,[29.4%]@WAS,[-11.0%]NYG,[6.6%]CIN,[-26.2%]@CAR,[10.0%]TB,[28.5%]@PHI
NO,[-26.2%]CAR,[-13.8%]@DAL,[28.5%]PHI,[16.7%]@ATL,[-10.6%]@KC,[10.0%]TB,[8.7%]DEN,[19.2%]@LAC,[-26.2%]@CAR,[16.7%]ATL,[-18.8%]CLE,BYE,[12.5%]LAR,[-11.0%]@NYG,[29.4%]WAS,[4.1%]@GB,[-10.2%]LVR
KC,[-28.7%]BAL,[6.6%]CIN,[16.7%]@ATL,[19.2%]@LAC,[-1.6%]NO,BYE,[-17.7%]@SF,[-10.2%]@LVR,[10.0%]TB,[8.7%]DEN,[-7.0%]@BUF,[-26.2%]@CAR,[-10.2%]LVR,[19.2%]LAC,[-18.8%]@CLE,[16.8%]HOU,[-12.4%]@PIT
SF,[-29.5%]NYJ,[-1.4%]@MIN,[12.5%]@LAR,[-12.9%]NE,[14.6%]ARI,[-1.5%]@SEA,[-10.6%]KC,[-13.8%]DAL,BYE,[10.0%]@TB,[-1.5%]SEA,[4.1%]@GB,[-7.0%]@BUF,[-1.1%]CHI,[12.5%]LAR,[13.3%]@MIA,[15.1%]DET
